日期收录,活动名称,类型,地区,城市,开始日期,结束日期,报名截止,官方链接,来源
2026-08-26,OpenAI Codex Meetup Kuala Lumpur,Meetup,东南亚,吉隆坡,2026-08-28,2026-08-28,2026-08-28,https://luma.com/cerebrasmalaysia,developers.openai.com
2026-08-26,OpenAI Codex Meetup Chiang Mai,Meetup,东南亚,清迈,2026-08-29,2026-08-29,2026-08-29,https://luma.com/yvy17hzh,developers.openai.com
2026-08-26,OpenAI Codex Meetup Seoul,Meetup,日韩,首尔,2026-09-04,2026-09-04,,https://luma.com/9xfly0uh,developers.openai.com
2026-08-26,OpenAI Codex Meetup Sydney,Meetup,澳新,悉尼,2026-08-26,2026-08-26,,https://luma.com/ouym489r,developers.openai.com
2026-08-26,All Things Agentic Hackathon Google Gemini,Hackathon,线上,线上,2026-08-01,2026-08-31,2026-08-31,https://allthingsagentichackathon.devpost.com,Devpost/Google
2026-08-26,OpenCV AI Competition 2026 powered by AWS,Hackathon,线上,线上,2026-08-26,2026-10-26,2026-10-26,https://opencv26.devpost.com,Devpost/OpenCV
2026-08-26,TikTok TechJam 2026,Hackathon,线上,线上,2026-08-01,2026-09-01,2026-09-01,https://tiktoktechjam2026.devpost.com,Devpost
2026-08-26,TRAE AI创造力大赛,Hackathon,线上,线上,2026-08-01,2026-08-31,2026-08-31,https://events.waytoagi.com/events/trae-ai-创造力大赛,WaytoAGI Events
2026-08-27,AI Tinkerers Hong Kong August Meetup,Meetup,港澳台,香港,2026-08-31,2026-08-31,,https://hong-kong.aitinkerers.org/p/ai-tinkerers-hong-kong-august-meetup-with-oax-foundation-and-gmasia,AI Tinkerers
2026-08-27,OpenAI Codex Community Meetup Taipei,Meetup,港澳台,台北,2026-08-29,2026-08-29,,https://luma.com/ph63von1,developers.openai.com
2026-08-27,The Great Agent Hackathon,Hackathon,东南亚,班加罗尔,2026-07-23,2026-08-30,2026-08-30,https://the-great-agent-hackathon.devpost.com/,Devpost
2026-08-27,OpenAI Codex Community Meetup Bengaluru,Meetup,东南亚,班加罗尔,2026-09-03,2026-09-03,,https://luma.com/xeulmg0q,developers.openai.com
2026-08-27,OpenAI Codex Community Hackathon Pune,Hackathon,东南亚,浦那,2026-09-05,2026-09-05,,https://luma.com/sq2mmwfm,developers.openai.com
2026-08-27,Agentic Hackathon Dhaka,Hackathon,东南亚,达卡,2026-08-23,2026-09-06,2026-09-06,https://agentic-hackathon.devpost.com/,Devpost
2026-08-27,AI Tinkerers Kuala Lumpur Agent Dev Kit Build Night,Meetup,东南亚,吉隆坡,2026-09-07,2026-09-07,,https://kuala-lumpur.aitinkerers.org/p/ai-tinkerers-kuala-lumpur-x-terminal-3-agent-dev-kit-build-night,AI Tinkerers
2026-08-27,OpenAI Codex Community Hackathon Kuala Lumpur Sep,Hackathon,东南亚,吉隆坡,2026-09-09,2026-09-09,,https://luma.com/nszqjbn7,developers.openai.com
2026-08-27,OpenAI Codex Community Meetup Vancouver,Meetup,北美,温哥华,2026-08-29,2026-08-29,,https://luma.com/lyoc58c2,developers.openai.com
2026-08-27,AI Tinkerers Boston September Meetup,Meetup,北美,波士顿,2026-09-03,2026-09-03,,https://boston.aitinkerers.org/p/back-from-summer-ai-gtm-builders,AI Tinkerers
2026-08-27,AI Agent Hackathon Philadelphia,Hackathon,北美,费城,2026-09-20,2026-09-20,,https://coffee-and-code-agent.devpost.com/,Devpost
2026-08-27,Test Flight Glasswing Ventures AI Hackathon,Hackathon,北美,波士顿,2026-09-26,2026-09-27,,https://test-flight-glasswing.devpost.com/,Devpost
2026-08-27,Gator Quant Hacks 2026,Hackathon,北美,盖恩斯维尔,2026-10-02,2026-10-04,,https://gqhacks.devpost.com/,Devpost
2026-08-27,LA Hacks AI Hackathon 2026,Hackathon,北美,洛杉矶,2026-10-17,2026-10-18,,https://la-ai-hackathon-2026.devpost.com/,Devpost
2026-08-27,Nordic Tech Week 2026,大会及边会,欧洲,瑞典,2026-09-07,2026-09-11,,https://nebius.com/events/nordic-tech-week-2026,Nebius Events
2026-08-27,Longevity x AI Hackathon Stockholm,Hackathon,欧洲,斯德哥尔摩,2026-09-11,2026-09-13,,https://nebius.com/events/longevity-ai-hackathon,Nebius Events
2026-08-27,OpenAI Codex Community Hackathon Antwerp,Hackathon,欧洲,安特卫普,2026-09-16,2026-09-16,,https://luma.com/ai388m8c,developers.openai.com
2026-08-27,HumanX Amsterdam 2026,大会,欧洲,阿姆斯特丹,2026-09-22,2026-09-24,,https://nebius.com/events/humanx-amsterdam-2026,Nebius Events
2026-08-27,Hack Apertus St Gallen,Hackathon,欧洲,圣加仑,2026-10-01,2026-10-16,,https://hackapertus.devpost.com/,Devpost
2026-08-27,NVIDIA GTC Berlin 2026,大会,欧洲,柏林,2026-10-20,2026-10-22,,https://nebius.com/events/nvidia-gtc-berlin-2026,Nebius Events
2026-08-27,AI Tinkerers Tokyo September Meetup,Meetup,日韩,东京,2026-09-01,2026-09-01,,https://tokyo.aitinkerers.org/p/ai-tinkerers-tokyo-september-1st-meetup,AI Tinkerers
2026-08-27,OpenAI Codex Community Meetup Perth Sep10,Meetup,澳新,珀斯,2026-09-10,2026-09-10,,https://luma.com/1m1sbmcf,developers.openai.com
2026-08-27,OpenAI Codex Community Meetup Perth Sep19,Meetup,澳新,珀斯,2026-09-19,2026-09-19,,https://luma.com/5a3bs7hn,developers.openai.com
2026-08-27,OpenAI Codex Community Hackathon Adelaide,Hackathon,澳新,阿德莱德,2026-09-24,2026-09-24,,https://luma.com/v4p1smma,developers.openai.com
2026-08-27,Building in Riyadh Nebius NVIDIA Dinner,Meetup,中东,利雅得,2026-09-01,2026-09-01,,https://nebius.com/events/building-in-riyadh-a-nebius-dinner,Nebius Events
2026-08-27,OpenAI Codex Community Hackathon Casablanca,Hackathon,中东,卡萨布兰卡,2026-08-29,2026-08-29,,https://luma.com/g5ck6gba,developers.openai.com
2026-08-27,OpenAI Codex Community Meetup Nairobi,Meetup,中东,内罗毕,2026-08-27,2026-08-27,,https://luma.com/2y6pxfqv,developers.openai.com
2026-08-27,The WebMCP Challenge,Hackathon,线上,线上,2026-08-01,2026-09-03,2026-09-03,https://webmcp.devpost.com/,Devpost
2026-08-27,Agentic Cinema The Blockbuster Hackathon,Hackathon,线上,线上,2026-08-01,2026-09-09,2026-09-09,https://agentic-cinema.devpost.com/,Devpost
2026-08-27,Agents for Humans Hackathon AWS Strands,Hackathon,线上,线上,2026-08-01,2026-09-14,2026-09-14,https://agentsforhumans.devpost.com/,Devpost/AWS
2026-08-27,AI Builders Hackathon 2026,Hackathon,线上,线上,2026-08-01,2026-09-15,2026-09-15,https://ai-builders-hackathon-2026.devpost.com/,Devpost
2026-08-27,Global Innovation Build Challenge V2,Hackathon,线上,线上,2026-08-01,2026-09-21,2026-09-21,https://gibc-v2.devpost.com/,Devpost
2026-08-27,GatewayHacks 2026,Hackathon,线上,线上,2026-08-01,2026-10-02,2026-10-02,https://gatewayhacks-2026.devpost.com/,Devpost
2026-08-27,Nebius x NVIDIA Global AI Hackathon,Hackathon,线上,线上,2026-08-01,2026-10-30,2026-10-30,https://nebiusglobalaihackathon.devpost.com/,Devpost/Nebius
2026-08-28,JLC × VB｜AI 新人类图鉴 AIGC 影像大赛,大会边会,中国大陆,线上/全国,2026-08-28,2026-08-28,2026-08-28,https://events.waytoagi.com/events/jlc-vb-ai-新人类图鉴-aigc-影像大赛-e_125a6f4d2b,WaytoAGI Events
2026-08-28,OpenAI DevDay Exchange 2026 班加罗尔,大会及边会,东南亚,班加罗尔,2026-10-16,2026-10-16,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,Humanoids Summit Seoul 2026,大会,日韩,首尔,2026-09-22,2026-09-23,,https://humanoidssummit.com/,humanoidssummit.com
2026-08-28,OpenAI DevDay Exchange 2026 东京,大会及边会,日韩,东京,2026-10-20,2026-10-20,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,OpenAI DevDay Exchange 2026 首尔,大会及边会,日韩,首尔,2026-10-22,2026-10-22,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,AGENTIC AI Summit 2026,大会,北美,弗吉尼亚,2026-10-05,2026-10-07,,https://gotoagentic.ai/,crossmint.com
2026-08-28,AI Infra Summit Hackathon 2026,Hackathon,北美,圣克拉拉,2026-09-15,2026-09-16,,https://www.ai-infra-summit.com/ai-infra-hackathon,ai-infra-summit.com
2026-08-28,Humanoids Summit Silicon Valley 2026,大会,北美,圣马特奥,2026-12-01,2026-12-02,,https://humanoidssummit.com/,humanoidssummit.com
2026-08-28,AGNTCon + MCPCon North America 2026,大会,北美,圣何塞,2026-10-22,2026-10-23,,https://events.linuxfoundation.org/agntcon-mcpcon-north-america/,Linux Foundation
2026-08-28,AGNTCon + MCPCon Europe 2026,大会,欧洲,阿姆斯特丹,2026-09-17,2026-09-18,,https://events.linuxfoundation.org/agntcon-mcpcon-europe/,Linux Foundation
2026-08-28,Lisbon AI 2026,大会,欧洲,里斯本,2026-09-23,2026-09-24,,https://lisbonai.xyz/,crossmint.com
2026-08-28,World Summit AI 2026,大会,欧洲,阿姆斯特丹,2026-10-07,2026-10-08,,https://worldsummit.ai/,crossmint.com
2026-08-28,OpenAI DevDay Exchange 2026 柏林,大会及边会,欧洲,柏林,2026-10-26,2026-10-26,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,OpenAI DevDay Exchange 2026 巴黎,大会及边会,欧洲,巴黎,2026-10-28,2026-10-28,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,OpenAI DevDay Exchange 2026 伦敦,大会及边会,欧洲,伦敦,2026-11-03,2026-11-03,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,Helmholtz GPU Hackathon 2026,Hackathon,欧洲,欧洲(混合),2026-09-02,2026-09-11,,https://hack.vip/e/helmholtz-gpu-hackathon-2026/,hack.vip
2026-08-28,8th Marenostrum Hackathon MNHack26,Hackathon,欧洲,欧洲(混合),2026-09-15,2026-09-30,,https://hack.vip/e/mnhack26-marenostrum-hackathon/,hack.vip
2026-08-28,European AI Hackathon 2026,Hackathon,欧洲,欧洲(混合),2026-10-06,2026-10-29,,https://hack.vip/e/european-ai-hackathon-2026/,hack.vip
2026-08-28,AI Builders Monthly London Sep,Meetup,欧洲,伦敦,2026-09-10,2026-09-10,,https://www.eventbrite.com/e/ai-builders-monthly-london-tickets-1993837667135,Eventbrite
2026-08-28,Birmingham AI Meetup September 2026,Meetup,欧洲,伯明翰,2026-09-02,2026-09-02,,https://www.eventbrite.com/e/general-birmingham-ai-meetup-september-2026-tickets-1995458089863,Eventbrite
2026-08-28,OpenAI Codex Community Meetup Goiania,Meetup,拉丁美洲,戈亚尼亚,2026-09-19,2026-09-19,,https://luma.com/brh4lu6z,developers.openai.com
2026-08-28,OpenAI DevDay Exchange 2026 圣保罗,大会及边会,拉丁美洲,圣保罗,2026-11-06,2026-11-06,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,OpenAI DevDay Exchange 2026 墨西哥城,大会及边会,拉丁美洲,墨西哥城,2026-11-11,2026-11-11,2026-09-04,https://events.openai.com,explainx.ai/OpenAI
2026-08-28,Hacktoberfest 2026,Hackathon,线上,线上,2026-10-01,2026-10-31,,https://hacktoberfest.com,hack.vip
2026-08-29,2026 可信AI黑客松 Trustworthy AI Hackathon,Hackathon,港澳台,台北,2026-08-29,2026-08-31,,https://hackathon.chain.tw/,Accupass
2026-08-29,Cloud & AI Infrastructure Asia 2026,大会及边会,东南亚,新加坡,2026-09-29,2026-09-30,,https://www.singaporetechnologyweek.com/cloud-ai-infrastructure,Singapore Technology Week
2026-08-29,AINext Singapore 2026,大会,东南亚,新加坡,2026-11-03,2026-11-03,,https://asia.ainextconference.com/,AINext Conference
2026-08-29,AI Innovation Asia 2026,大会,东南亚,新加坡,2026-11-26,2026-11-26,,https://events.economistenterprise.com/ai-innovation-asia/,The Economist Enterprise
2026-08-29,AI Connect Expo 2026,大会及边会,北美,亚特兰大,2026-09-09,2026-09-10,,https://aiconnectexpo.com/,Eventbrite/Fortem International
2026-08-29,AI Tinkerers Seattle September Monthly,Meetup,北美,西雅图,2026-09-08,2026-09-08,,https://seattle.aitinkerers.org/p/ai-dev-tools-track-seattle-september-8,AI Tinkerers
2026-08-29,AI Tinkerers Seattle Women in AI Builders Track,Meetup,北美,西雅图,2026-09-22,2026-09-22,,https://seattle.aitinkerers.org/p/women-in-ai-builders-track-seattle-meetup-september-22nd,AI Tinkerers
2026-08-29,GITEX AI Türkiye 2026,大会及边会,欧洲,伊斯坦布尔,2026-09-09,2026-09-10,,https://www.gitexturkiye.com/,Eventbrite/Invest in Türkiye
2026-08-29,Web Summit 2026,大会及边会,欧洲,里斯本,2026-11-09,2026-11-12,,https://websummit.com/,Web Summit Official
2026-08-29,EMNLP 2026,大会,欧洲,布达佩斯,2026-11-04,2026-11-09,,https://2026.emnlp.org/,EMNLP Official
2026-08-29,NeurIPS 2026,大会,澳新,悉尼,2026-12-06,2026-12-12,,https://neurips.cc/,NeuronFeed/AI What's On
2026-08-29,OpenAI Codex Community Hackathon Casablanca,Hackathon,中东,卡萨布兰卡,2026-08-29,2026-08-29,,https://luma.com/g5ck6gba,developers.openai.com
2026-08-29,AI Tinkerers Dubai October Demo Day,Demo Day,中东,迪拜,2026-10-10,2026-10-10,,https://dubai.aitinkerers.org/p/ai-tinkerers-dubai-october-demo-day,AI Tinkerers
2026-08-29,Global AI & Data Hackathon Summit,Hackathon,线上,线上,2026-08-29,2026-08-29,,https://chuli.org/hackathon,Eventbrite
2026-08-29,Agentic Cinema The Blockbuster Hackathon,Hackathon,线上,线上,2026-08-01,2026-09-09,2026-09-09,https://agentic-cinema.devpost.com/,Devpost/Google Cloud
2026-08-29,Nebius x NVIDIA Global AI Hackathon,Hackathon,线上,线上,2026-08-01,2026-10-30,2026-10-30,https://nebiusglobalaihackathon.devpost.com/,Devpost/Nebius
2026-08-29,AI Tinkerers Agents Everywhere Global Hackathon,Hackathon,线上,全球250+城市,2026-09-12,2026-09-12,,https://nyc.aitinkerers.org/p/agents-everywhere-beyond-the-chatbot-global-hackathon-with-openai,AI Tinkerers/OpenAI
